"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Teste Valor da faca","1","0","Testar se o preço da faca é abaixo de 100 reais","0"
"0","","0","Teste Valor da Luva","1","0","Testar se o preço da luva é abaixo de 100 reais","0"
