"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4716","test_validarPrecosFacas","tests","Thu Oct 24 10:49:13 BRT 2024","passed","Thu Oct 24 10:49:18 BRT 2024","TestSteam","test_steam","",""
"","4271","test_validarPrecosLuvas","tests","Thu Oct 24 10:49:26 BRT 2024","passed","Thu Oct 24 10:49:31 BRT 2024","TestSteam","test_steam","",""
